code,nl
class EmailMessage ( object ) :,derive the class EmailMessage from the object base class .
singular . append ( contents ),append contents to singular .
"timestamp = datetime . datetime . now ( ) . strftime ( "" STR_ "" )","call the strftime function with argument string `` % Y % m % d- % H % M % S '' on the return value of the function datetime.datetime.now , substitute the result for timestamp ."
"def add arguments ( self , parser ) :",define the method add_arguments with self class instance and parse as the arguments .
import warnings,import module warnings .
self . value = value,substitute value for self.value .
name = args [ NUM_ ],substitute second element of args for name .
slots = or ig vars . get ( STR_ ),"get the value under the '__slots__ ' key of the orig_vars dictionary , substitute it for slots ."
tzinfo = get fixed timezone ( offset ),"call the function get_fixed_timezone with an argument offset , substitute the result for tzinfo ."
exc info = record . exc info,substitute record.exc_info for exc_info .
"accept language re = re . compile ( r STR_ , re . VERBOSE )","call the function re.compile with 2 arguments : raw string `` ( [ A-Za-z ] { 1,8 } ( ? : - [ A-Za-z0-9 ] { 1,8 } ) *|\* ) ( ? : \s* ; \s*q= ( 0 ( ? : \.\d { ,3 } ) ? |1 ( ? : .0 { ,3 } ) ? ) ) ? ( ? : \s* , \s*| $ ) '' ,"
@ python 2 unicode compatible,"python_2_unicode_compatible decorator ,"
MAX NUM FORM COUNT = STR_,MAX_NUM_FORM_COUNT is a string 'MAX_NUM_FORMS ' .
def   bytes cast ( self ) :,define the method __bytes_cast with an argument self .
except TypeError as te :,"if TypeError , renamed to te , exception is caught ,"
"def nud ( self , parser ) :",define the method nud with 2 arguments : self and parser .
except ValueError :,if ValueError exception is caught .
else :,"if not ,"
def make list ( value ) :,define the function make_list with an argument value .
"return timeuntil ( value , arg )","call the function timeuntil with 2 arguments value and arg , return the result ."
if fg in color names :,"if fg is contained in color_names ,"
import gettext,import gettext module .
if text . endswith ( truncate ) :,"if text ends with truncate ,"
in itial = [ ],initial is an empty list .
import posixpath,import module posixpath .
self . connection reset = connection reset,substitute connection_reset for self.connection_reset .
except Exception as e :,"if Exception , renamed to e , exception is caught ,"
if s == STR_ :,"if s equals a string ' '' ' ,"
if item [ STR_ ] is not None :,"and guid_attrs . if value under the 'ttl ' key of the item dictionary is not None ,"
"def prepare value ( self , value ) :",define the method prepare_value with arguments : self and value .
except AttributeError :,"if AttributeError exception is raised ,"
if format module path :,"if format_module_path is true ,"
output . append ( error row % force text ( bf errors ) ),"call the function force_text with an argument bf_errors , format the error_row string with the result , append it to the output ."
"autoescape = autoescape and not is in stance ( value , SafeData )","if autoescape is true and value is not an instance of SafeData , autoescape is boolean True , otherwise it is boolean False ."
else :,"where string ' % s ' is replaced by lookup_view and mod_name , respectively . if not ,"
"return mark safe ( force text ( text ) . replace ( & , STR_ ) . replace ( < , STR_ ) . replace ( > , STR_ ) . replace ( STR_ , STR_ ) . replace ( "" STR_ "" , STR_ ) )","call the function force_text with an argument text , replace every occurrence of ' & ' in the result with ' & amp ; ' ,"
except KeyError :,"if KeyError exception is caught ,"
pass,do nothing .
raise,raise an exception .
"if is in stance ( nodelist , NodeList ) and not is in stance ( node , TextNode ) :",if nodelist is an instance of NodeList and node is not an instance of TextNode class .
if exclude is not None :,"if exclude is not None ,"
pass,do nothing .
self . load initial data = options . get ( STR_ ),"get the value from the options dictionary under the key 'load_initial_data ' , substitute it for self.load_initial_data ."
wrapped main func = check errors ( main func ),"call the function check_errors with argument main_func , substitute the result for wrapped_main_func ."
qs = queryset . none ( ),"call the method queryset.none , substitute it for qs ."
for item in self . items :,"for every item in self.items ,"
if errors :,"if errors is true ,"
"if is  ignored ( os . path . normpath ( os . path . join ( dirpath , dirname ) ) , norm patterns ) :","join dirpath and dirname into a file path , use is as an argument for the call to the function os.path.join ,"
continue,"skip this loop iteration ,"
if self . sep not in signed value :,"if self.sep is not contained in signed_value ,"
try :,"try ,"
self . year none value = self . none value,substitute self.none_value for self.year_none_value .
for line in chunk buffer :,"for every line in chunk_buffer ,"
self . in dex = in dex,substitute index for self.index .
try :,"try ,"
else :,"if else ,"
data = { },"data is an empty dictionary ,"
if expires is not None :,"if expires is not None ,"
"return name , ( value , params )",return name and tuple containing 2 elements value and params .
if is  library missing ( taglib module ) :,"call the function is_library_missing with an argument taglib_module , if it evaluates to true ,"
exc type = type ( exc ),"get the type of the exc object , substitute it for exc_type ."
self .  clean fields ( ),call the method self._clean_fields .
processors = ( ),processors is an empty tuple .
"self . stdout . write ( self . style . NOTICE ( "" STR_ "" ) )","call the method self.style.NOTICE with string `` Your models have changes that are not yet reflected in a migration , and so wo n't be applied . '' as an argument , use the result as an argument for the call to the self.stdout.write method ."
self .  called from command line = True,self._called_from_command_line is boolean True .
"compare = lambda self , a , b : a > b","compare is a lambda function with arguments self , a and b , return value is boolean true if a is greater than b , otherwise is false ."
class WidthRatioNode ( Node ) :,derive the class WidthRatioNode from Node base class .
@ python 2 unicode compatible,decorator python_2_unicode_compatible .
widget = SplitDateTimeWidget,substitute SplitDateTimeWidget for widget .
"kwargs [ "" STR_ "" ] = False",value under the 'required ' key of the kwargs dictionary is boolean False .
self . xml . characters ( smart text ( related att ) ),"call the function smart_text with argument related_att , use the result as an argument for the call to the self.xml.characters method ."
"handler . addQuickElement ( "" STR_ "" , "" "" , { "" STR_ "" : item [ STR_ ] , "" STR_ "" : "" STR_ "" } )","call the method handler.addQuickElement with 3 arguments : string 'link ' , an empty string and a dictionary with 2 entries :"
def   len   ( self ) :,define the method __len__ with an argument self .
return type ( self ) .   bool   ( self ),"get the type of self object , call its method __bool__ with an argument self , return the result ."
